N°,ZONA,DISTRITO,PROVINCIA,CANTON,PARROQUIA,TIPO_EDUCACION,AMIE,INSTITUCION,SOSTENIMIENTO,JURISDICCION,REGIMEN,ZONA_INEC,NIVEL_DE_EDUCACION,NRO_NINOS,AUX_ANIO_DOTACION,AUX_T_IE,MD_ANIO_DOTACION,MD_PARALELOS,MD_MONTO_USD,M_ANIO_DOTACION,M_TIPO_DE_AMBIENTE,M_MONTO_USD,JE_ANIO_DOTACION,JE_CANTIDAD,JE_MONTO_USD,AUX_IE_MATERIAL,SAE,REVISION_DNIF,DIMENSIONES,LONGITUD,LATITUD
35,Zona 3,05D04,COTOPAXI,PUJILI,LA VICTORIA,Ordinario,05H00550,UNIDAD EDUCATIVA 14 DE OCTUBRE - VICENTE ROCAFUERTE,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,24,2027,1,2027,3,8456.22,2027,3,3780,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,2100 m2,-78.697392975,-0.919875405332
36,Zona 3,05D04,COTOPAXI,PUJILI,TINGO,Ordinario,05H00568,UNIDAD EDUCATIVA DIGNA MARIA BEATRIZ CERDA NETO,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,31,2027,1,2027,2,5637.48,2027,2,2520,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,500 m2,-79.1846970785,-0.935665114477
37,Zona 3,05D06,COTOPAXI,SALCEDO,SAN MIGUEL,Ordinario,05H00621,UNIDAD EDUCATIVA FEDERICO GONZALEZ SUAREZ,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB,128,2027,1,2027,5,14093.7,2027,5,6300,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.5884869918,-1.04487856359
38,Zona 3,05D06,COTOPAXI,SALCEDO,ANTONIO JOSE HOLGUIN (SANTA LUCIA),Ordinario,05H00632,UNIDAD EDUCATIVA IGNACIO FLORES,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,34,2027,1,2027,2,5637.48,2027,2,2520,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,8 X 10 APROXIMADAMENTE 80 METROS CUADROS,-78.6041463205,-1.09894903211
39,Zona 3,05D06,COTOPAXI,SALCEDO,CUSUBAMBA,Ordinario,05H00640,UNIDAD EDUCATIVA CUSUBAMBA,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,27,2027,1,2027,2,5637.48,2027,2,2520,2027.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,70 ,-78.7012239216,-1.06969119688
40,Zona 3,18D01,TUNGURAHUA,AMBATO,CUNCHIBAMBA,Ordinario,18H00327,UNIDAD EDUCATIVA DARIO GUEVARA,FISCAL,Intercultural,SIERRA,Rural,"Inicial, Educacion Basica y Bachillerato",75,2027,1,2027,3,8456.22,2027,3,3780,,0.0,0.0,ML_Mo,,,,-78.5872761479,-1.1379485916
41,Zona 3,05D06,COTOPAXI,SALCEDO,MULLIQUINDIL (SANTA ANA),Ordinario,05H00658,UNIDAD EDUCATIVA EMILIO TERAN,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,32,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.5646396572,-1.03305825821
42,Zona 3,05D06,COTOPAXI,SALCEDO,PANSALEO,Ordinario,05H00665,UNIDAD EDUCATIVA NESTOR MOGOLLON,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,18,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.5797251512,-1.09205944353
43,Zona 3,05D06,COTOPAXI,SALCEDO,PANSALEO,Ordinario,05H00667,UNIDAD EDUCATIVA JOSE MEJIA LEQUERICA,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,14,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.5994480655,-1.06658456179
44,Zona 3,18D01,TUNGURAHUA,AMBATO,IZAMBA,Ordinario,18H00209,UNIDAD EDUCATIVA JULIO ENRIQUE FERNANDEZ,FISCAL,Intercultural,SIERRA,Rural,"Inicial, Educacion Basica y Bachillerato",58,2027,1,2027,4,11274.96,2027,4,5040,2027.0,1.0,4944.0,ML_Mo_JE,,,6mt de largo por  4 mt de ancho total unos 20 mt,-78.5876927584,-1.22744616278
