zona,distrito,provincia,canton,parroquia,tipo_educacion,amie,institucion,sostenimiento,jurisdiccion,regimen,zona_inec,nivel_educacion,nro_niños_iniciales,aux_año_dotacion,aux_t_ie,md_año_dotacion,md_paralelos,md_monto_usd,m_año_dotacion,m_tipo_ambiente,m_monto_usd,je_año_dotacion,je_cantidad,je_monto_usd,aux_ie_material,latitud,longitud
8,09D07,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01038,ESCUELA DE EDUCACIÓN BÁSICA FISCAL LEOPOLDO IZQUIETA PEREZ,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,105,2026,1,2026,4,11673.04,2026,4,6112.0,2026,1,5748.0,ML_Mo_JE,-2.10038921,-79.92144047
8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01056,ESCUELA DE EDUCACION BASICA FISCAL LUIS FELIX LOPEZ,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,143,2026,1,2026,6,17509.56,2026,6,9168.0,2026,1,5748.0,ML_Mo_JE,-2.100244244,-79.96824606
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01088,ESCUELA DE EDUCACION BASICA FISCAL CARLOMAGNO ANDRADE PAREDES,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,102,2026,1,2026,4,11673.04,2026,4,6112.0,0,0,0.0,ML_Mo,-2.115645978,-79.91762101
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01106,ESCUELA DE EDUCACION BASICA FISCAL ENRIQUE VALLEJO VIVANCO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,50,2026,1,2026,2,5836.52,2026,2,3056.0,0,0,0.0,ML_Mo,-2.151800829,-79.92192556
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01114,ESCUELA DE EDUCACION BASICA FISCAL RAFAELA VALLEJO BARAHONA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,54,2026,1,2026,2,5836.52,2026,2,3056.0,2026,1,5748.0,ML_Mo_JE,-2.119172974,-79.91292298
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01129,ESCUELA DE EDUCACION BASICA FISCAL LUIS BONILLA CASTILLO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,51,2026,1,2026,2,5836.52,2026,2,3056.0,2026,1,5748.0,ML_Mo_JE,-2.18714201,-79.927484
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01130,UNIDAD EDUCATIVA FISCAL FICOA DE MONTALVO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,25,2026,1,2026,1,2918.26,2026,1,1528.0,2026,1,5748.0,ML_Mo_JE,-2.124663981,-79.924221
8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01182,UNIDAD EDUCATIVA  FISCAL VIOLETA LUNA CARRERA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,75,2026,1,2026,3,8754.78,2026,3,4584.0,2026,1,5748.0,ML_Mo_JE,-2.087929374,-79.99345254
8,09D05,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01192,CENTRO DE EDUCACIÓN INICIAL FISCAL LCDA  LUPE ARROBA DE GOVEA,FISCAL,Intercultural,COSTA,Urbana,Inicial,171,2026,1,2026,7,20427.82,2026,7,10696.0,0,0,0.0,ML_Mo,-2.124371935,-79.88407426
8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01206,ESCUELA DE EDUCACION BASICA FISCAL RITA LECUMBERRI,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,25,2026,1,2026,1,2918.26,2026,1,1528.0,2026,1,5748.0,ML_Mo_JE,-2.127200414,-79.91568273
